Gene Symbol,MIM Number,Entrez Gene ID,Full OMIM Title
C20ORF204,*621404,284739,CHROMOSOME 20 OPEN READING FRAME 204; C20ORF204
NCBP2AS2,*621467,152217,NCBP2 ANTISENSE RNA 2 (HEAD TO HEAD); NCBP2AS2
CPS1IT1,*621537,29034,"CPS1 INTRONIC TRANSCRIPT 1, NONCODING; CPS1IT1"
TMCO6,*621572,55374,TRANSMEMBRANE AND COILED-COIL DOMAINS PROTEIN 6; TMCO6
LYRM2,*621575,57226,LYR MOTIF-CONTAINING PROTEIN 2; LYRM2
ASH1LAS1,*621596,645676,ASH1L ANTISENSE RNA 1; ASH1LAS1
RNF214,*621641,257160,RING FINGER PROTEIN 214; RNF214
URGCP,*610337,55665,UPREGULATOR OF CELL PROLIFERATION; URGCP
IL6ST,*600694,3572,INTERLEUKIN 6 CYTOKINE FAMILY SIGNAL TRANSDUCER; IL6ST
MYC,*190080,4609,"MYC PROTOONCOGENE, bHLH TRANSCRIPTION FACTOR; MYC"
CASP3,*600636,836,"CASPASE 3, APOPTOSIS-RELATED CYSTEINE PROTEASE; CASP3"
KRAS,*190070,3845,"KRAS PROTOONCOGENE, GTPase; KRAS"
MYCT1,*616805,80177,MYC TARGET IN MYELOID CELLS 1; MYCT1
TPDS2,#619975,,TUMOR PREDISPOSITION SYNDROME 2; TPDS2
AR,*313700,367,ANDROGEN RECEPTOR; AR
GPR15LG,*617775,387695,G PROTEIN-COUPLED RECEPTOR 15 LIGAND; GPR15LG
GSDME,*608798,1687,GASDERMIN E; GSDME
MARK4,*606495,57787,MAP/MICROTUBULE AFFINITY-REGULATING KINASE 4; MARK4
CDH13,*601364,1012,CADHERIN 13; CDH13
HFE,*613609,3077,HOMEOSTATIC IRON REGULATOR; HFE
TRIM24,*603406,8805,TRIPARTITE MOTIF-CONTAINING PROTEIN 24; TRIM24
IDH1,*147700,3417,"ISOCITRATE DEHYDROGENASE, NADP(+), 1; IDH1"
EPHB4,*600011,2050,EPHRIN RECEPTOR EphB4; EPHB4
PCM1,*600299,5108,PERICENTRIOLAR MATERIAL 1; PCM1
TM4SF5,*604657,9032,"TRANSMEMBRANE 4 SUPERFAMILY, MEMBER 5; TM4SF5"
CIP2A,*610643,57650,CELL PROLIFERATION-REGULATING INHIBITOR OF PROTEIN PHOSPHATASE 2A; CIP2A
ALPS,#601859,,AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME; ALPS
IL6,*147620,3569,INTERLEUKIN 6; IL6
EIF2AK2,*176871,5610,EUKARYOTIC TRANSLATION INITIATION FACTOR 2-ALPHA KINASE 2; EIF2AK2
RPS15,*180535,6209,RIBOSOMAL PROTEIN S15; RPS15
PRKAR1A,*188830,5573,"PROTEIN KINASE, cAMP-DEPENDENT, REGULATORY, TYPE I, ALPHA; PRKAR1A"
ZEB1,*189909,6935,ZINC FINGER E BOX-BINDING HOMEOBOX 1; ZEB1
BIN1,*601248,274,BRIDGING INTEGRATOR 1; BIN1
NPTNIT1,*615176,101241892,"NPTN INTRONIC TRANSCRIPT 1, NONCODING; NPTNIT1"
CLEC14A,*616845,161198,"C-TYPE LECTIN DOMAIN FAMILY 14, MEMBER A; CLEC14A"
PYROXD2,*617889,84795,PYRIDINE NUCLEOTIDE-DISULPHIDE OXIDOREDUCTASE DOMAIN-CONTAINING PROTEIN 2; PYROXD2
SLC31A1,*603085,1317,"SOLUTE CARRIER FAMILY 31 (COPPER TRANSPORTER), MEMBER 1; SLC31A1"
MMD,*604467,23531,MONOCYTE-TO-MACROPHAGE DIFFERENTIATION-ASSOCIATED PROTEIN; MMD
AIP,*605555,9049,ARYL HYDROCARBON RECEPTOR-INTERACTING PROTEIN; AIP
F11,*264900,2160,COAGULATION FACTOR XI; F11
